id,text,label,tokenized_text
0,year obamas ideology hillary shithole country,hateful,"['year', 'obamas', 'ideology', 'hillary', 'shithole', 'country']"
3,queue fuck retard feel chance fcfs fucksake,hateful,"['queue', 'fuck', 'retard', 'feel', 'chance', 'fcfs', 'fucksake']"
4,soit burundais refugies alerte car leur corp sont visibles loeil,hateful,"['soit', 'burundais', 'refugies', 'alerte', 'car', 'leur', 'corp', 'sont', 'visibles', 'loeil']"
9,bitter cunt arsenal player player fod sell,hateful,"['bitter', 'cunt', 'arsenal', 'player', 'player', 'fod', 'sell']"
11,child refugee,hateful,"['child', 'refugee']"
12,negro default,hateful,"['negro', 'default']"
16,benefit illegal alien ary work illegally,hateful,"['benefit', 'illegal', 'alien', 'ary', 'work', 'illegally']"
21,economic asylum isnut thing ucmy country shitholeud asylum nnhow,hateful,"['economic', 'asylum', 'isnut', 'thing', 'ucmy', 'country', 'shitholeud', 'asylum', 'nnhow']"
23,man leave week twat nut,hateful,"['man', 'leave', 'week', 'twat', 'nut']"
29,twitter club report left retard babyu,hateful,"['twitter', 'club', 'report', 'left', 'retard', 'babyu']"
33,matter hard retard math,hateful,"['matter', 'hard', 'retard', 'math']"
36,swear boyfriend partially retard time,hateful,"['swear', 'boyfriend', 'partially', 'retard', 'time']"
38,retard leader paper tiger,hateful,"['retard', 'leader', 'paper', 'tiger']"
39,sell dvd hahahaha shop gon hate woman counter mongy cunt deseru,hateful,"['sell', 'dvd', 'hahahaha', 'shop', 'gon', 'hate', 'woman', 'counter', 'mongy', 'cunt', 'deseru']"
51,dodamage slogan unbelievably stupid itus offenseus goal damage mongoloid boston,hateful,"['dodamage', 'slogan', 'unbelievably', 'stupid', 'itus', 'offenseus', 'goal', 'damage', 'mongoloid', 'boston']"
55,grandma faggot today thatus low,hateful,"['grandma', 'faggot', 'today', 'thatus', 'low']"
57,roofe pen eithernnfuck cuntnnwe win game fact takinu,hateful,"['roofe', 'pen', 'eithernnfuck', 'cuntnnwe', 'win', 'game', 'fact', 'takinu']"
59,rot shithole chose country,hateful,"['rot', 'shithole', 'chose', 'country']"
62,babe ruth dirty jew,hateful,"['babe', 'ruth', 'dirty', 'jew']"
65,pretty dick faggot beat reality check shit,hateful,"['pretty', 'dick', 'faggot', 'beat', 'reality', 'check', 'shit']"
69,fat mongy mess today udeuddudeudd,hateful,"['fat', 'mongy', 'mess', 'today', 'udeuddudeudd']"
71,fuck ching chong siopao dimsum shit question understand kasi vague,hateful,"['fuck', 'ching', 'chong', 'siopao', 'dimsum', 'shit', 'question', 'understand', 'kasi', 'vague']"
72,harry style dirty spic munch asshole shame,hateful,"['harry', 'style', 'dirty', 'spic', 'munch', 'asshole', 'shame']"
77,liberal threaten spic deport support trump,hateful,"['liberal', 'threaten', 'spic', 'deport', 'support', 'trump']"
84,yeah long west ham fan fuking retard,hateful,"['yeah', 'long', 'west', 'ham', 'fan', 'fuking', 'retard']"
93,dave robert certify retard,hateful,"['dave', 'robert', 'certify', 'retard']"
94,fuckin retard,hateful,"['fuckin', 'retard']"
98,retard,hateful,['retard']
101,damn retard udeuddudcudffduduufef,hateful,"['damn', 'retard']"
103,yuall nigga gay hella faggot shit,hateful,"['yuall', 'nigga', 'gay', 'hella', 'faggot', 'shit']"
115,feminazis roll fraud,hateful,"['feminazis', 'roll', 'fraud']"
118,spic polach,hateful,"['spic', 'polach']"
120,feminist fat twat,hateful,"['feminist', 'fat', 'twat']"
127,exam collage fuck mongy place cheeky pay rise beforeu,hateful,"['exam', 'collage', 'fuck', 'mongy', 'place', 'cheeky', 'pay', 'rise', 'beforeu']"
128,love negro,hateful,"['love', 'negro']"
132,mind negroso open mind screen door impressive carterv,hateful,"['mind', 'negroso', 'open', 'mind', 'screen', 'door', 'impressive', 'carterv']"
133,skip shithole city ndetrou,hateful,"['skip', 'shithole', 'city', 'ndetrou']"
138,bonge retard,hateful,"['bonge', 'retard']"
144,lil correct fuck retard ium lose brain cellsu,hateful,"['lil', 'correct', 'fuck', 'retard', 'ium', 'lose', 'brain', 'cellsu']"
155,jonathan chait retard,hateful,"['jonathan', 'chait', 'retard']"
158,hurry faggot wan,hateful,"['hurry', 'faggot', 'wan']"
159,white wassup nigger video nigger,hateful,"['white', 'wassup', 'nigger', 'video', 'nigger']"
161,yeah dodge wager shitter gig retard bruise dad,hateful,"['yeah', 'dodge', 'wager', 'shitter', 'gig', 'retard', 'bruise', 'dad']"
170,sick face news feed cunt,hateful,"['sick', 'face', 'news', 'feed', 'cunt']"
173,faggot clap cheek nigga,hateful,"['faggot', 'clap', 'cheek', 'nigga']"
174,charlie sloth mongy cunt,hateful,"['charlie', 'sloth', 'mongy', 'cunt']"
176,tag denilson spic,hateful,"['tag', 'denilson', 'spic']"
180,sheus place ucshithole countriesud locateduddudeuddudeuddudeuddude,hateful,"['sheus', 'place', 'ucshithole', 'countriesud']"
190,soulless fuck twat,hateful,"['soulless', 'fuck', 'twat']"
203,series machado faggot insult,hateful,"['series', 'machado', 'faggot', 'insult']"
205,sort thing shithole country,hateful,"['sort', 'thing', 'shithole', 'country']"
206,absolute twat reason sjws told deserve gaybashed juu,hateful,"['absolute', 'twat', 'reason', 'sjws', 'told', 'deserve', 'gaybashed', 'juu']"
207,fatlus mainstream nigger,hateful,"['fatlus', 'mainstream', 'nigger']"
212,baby told beautiful bare face nigger twist,hateful,"['baby', 'told', 'beautiful', 'bare', 'face', 'nigger', 'twist']"
