id,text,label
850010509969465344,  The Nazi death gas so horrific even Hitler feared using it  ,normal
850433664890544128,I hate er chase because if the Bitch that works there shes literally evil ,hateful
850100742035836929,  Pineapples do not belong on pizza Yall niggas are nasty ,hateful
847804507367100416,Niggas keep talking about women wearing weave but be sick when a bitch up a fro on they ass  ,hateful
850344984742174720,Carlos Correa had gyalchester as his walkup music and it was so bad ass  ,normal
850660404770590720,THE FORCE AWAKENS A Bad Lip Reading Featuring Mark Hamill as Han Solo  ,normal
850090319165050880, idiot thats not gonna work you gotta put flame stickers on it to make it go faster ,hateful
848926030723031040,  Papaya has to be the worst fruit ever ,normal
848975292794318848, btw I watched where you watched my pov on stream and boii do I feel retarded ,normal
850346419164553218, Every bird turd is talking Children of God or Our bros amp Sisters to push evil policy Russia got full cooperationrid Syria of Chem Weaps ,normal
848686686930382848,  bruh i fucking hate people like this  ,hateful
850380636300820480,  Im really fucking sick of watching the Republican Party be rewarded for flagrantly degrading our democracy ,hateful
847652946217009155, just another dumbass bronco fan swear I hate this fanbase dawg  ,hateful
848338236770582529,Dick Tracy Meets Gruesome  the reboot Riffotronic  ,normal
848835698006401024,  I Sampled Jaws Pull Up With The Pistol Make A Nigga Look So Dam Sick Like He Seen A Bitch With Titts  ,hateful
850215875680522240,  if you litter youre a bitch amp i hate you ,hateful
849922895132459008,  Dont take out the anger of being a hairless nigga on us   ,hateful
847663964657860609,Bloody splicers sealed Johnny in before they goddamn splicers ,hateful
847760077108822016,Up at am still sick dr Pissing me off ugh its almost spring break I just wanna be wellwhinesnifflecoughcry ,normal
848573151328043011,Something is deeply wrong with him That and the LYING Scare the hell out of me  ,normal
850026196633092096,  lesson of the day fight salty ass hate with poems  ,normal
848794237306937344,Yang susah itu yang disini dadahati that ugly feeling can stay for who knows how damn longMelbourne ,normal
849426637657710592,Why Praise Can Be Bad for Kids  ABC News  via  ,normal
848594131257577473,He would not have won if the DNC knew what the hell they were doing Its too bad if saying that hurts feelings but Trumps gotta go ,hateful
849751289399566336,  You see we should have traded Letang hes always hurt  Idiots ,hateful
847811708995481600,I hate when people get up here and tell what happening on a TV show or Movie Shut yo ass up  ,hateful
849091848337489920, At least outline the plot and shiz for when you have time Your audience needs you ,normal
849261080119361536,   WINNER trending on Melon Search at  __  ,normal
849191429494546434,   WINNER trending on Melon Search at  __  ,normal
849001259759616000,  INFO Jinyoung spotted at Han river with gagman Lee SeungYoon crnct_markamp https ,normal
850570969634754560,I worry about this all of the time If the Nazis turn away from him it might not be as bad as I fear it will be thread  ,normal
848997472273936384,Niggas worst than your side bitch always questioning they position ,hateful
849787985352589312,too bad i aint packing like that banana  ,normal
850179691386249217,  So this dude bombed Syria Idiot ,hateful
849588915279364096, ugh crippling self doubt is THE WORST ,normal
849095858096394240,If someone heard mine and Macies convo in Applebees theyd think we were idiots  ,normal
848877670389755904, She does amp tori is an idiot for taking it all the time ,hateful
848759395215265792,Might pull up wit yo bitch just to make these niggas sick ,hateful
847498662905307136,Line from this film I dont take orders from a fucking woman   ,hateful
849032238872133633,  women who claim they dont get wifed because they arent hoes are just as bad as dudes who claim theyre overlooked bc the ,normal
850445232789487616,JAP Battle EXPLICIT  Crazy ExGirlfriend Awe Snap Scarsdale  ,hateful
849350649473114113,  I can see the headlines now No service for Andy Carroll at The Vodafone Stadium tonight Cant fucking wait ,normal
849355590354776064,  Just cuz my money keep runnin like Forest Gump I got niggas hate me like Im Donald Trump ,hateful
850014813292032001, No need to apologize because some people are too retarded to see your message of positivity and to trying to unite us ,hateful
850211169662935040,IM SO FUCKING PISSED I HATE YOU TRUMP I WANTED TO STA WW ,hateful
848729850533826564,  Ill  them but they too lame dont even have a twitter you know grown ass woman   ,normal
848519904655552512,  Justice for Bud cruel students lit up fire crackers in his mouth Plz sign  ,hateful
849301588674039809, I wish she would move to Montana so she could be my senator instead of that idiot steve daines ,hateful
849161004030111745,   WINNER  FATE NUMBER FOR Melon Mnet Naver  ,normal
