id,text,label
0,year obamas ideology shithole country,hateful
3,queue fuck retard feel fcfs fucksake,hateful
9,bitter cunt arsenal player player fod sell,hateful
11,child refugee,hateful
12,negro default,hateful
16,benefit illegal alien ary work illegally,hateful
21,economic asylum isnut thing ucmy country shithole asylum,hateful
23,leave week twat nut,normal
29,club report left retard babyu,hateful
33,matter hard retard math,hateful
36,swear boyfriend partially retard time,hateful
38,retard leader paper tiger,hateful
39,sell dvd hahahaha shop gon hate woman counter mongy cunt deseru,hateful
51,dodamage slogan unbelievably stupid itus offenseus goal damage mongoloid boston,hateful
55,grandma faggot today low,hateful
57,pen fuck cunt win game fact,hateful
59,rot shithole chose country,hateful
62,babe dirty jew,hateful
65,pretty dick faggot beat reality check shit,hateful
69,fat mongy mess today,hateful
71,fuck ching chong siopao dimsum shit question understand vague,hateful
72,style dirty spic munch asshole shame,hateful
77,liberal threaten spic deport support,normal
84,ham fan fuck retard,hateful
93,certify retard,hateful
94,fuck retard,hateful
98,retard,hateful
101,damn retard,hateful
103,yuall nigga gay hella faggot shit,hateful
115,feminazis roll fraud,hateful
118,spic polach,hateful
120,feminist fat twat,hateful
127,exam collage fuck mongy place cheeky pay rise,hateful
128,love negro,hateful
132,mind negro open mind screen door impressive carterv,hateful
133,skip shithole city,hateful
138,bonge retard,hateful
144,lil correct fuck retard ium lose cell,hateful
155,chait retard,hateful
158,hurry faggot,hateful
159,white wassup nigger video nigger,hateful
161,dodge wager shitter gig retard bruise dad,hateful
170,sick face news feed cunt,hateful
173,faggot clap cheek nigga,hateful
174,sloth mongy cunt,hateful
176,tag denilson spic,hateful
180,place shithole countriesud,hateful
190,soulless fuck twat,hateful
203,series machado faggot insult,hateful
205,sort thing shithole country,hateful
206,absolute twat reason told deserve gay bash juu,hateful
207,fatlus mainstream nigger,hateful
212,baby told beautiful bare face nigger twist,hateful
218,force deal retard people everyday,hateful
219,faggot,hateful
225,decide race caucasoid australoid mongoloid race intermediu,hateful
238,speak hazara mongol people ethnic genetical,hateful
239,coat,normal
246,word retard derogatory sense piece shit,hateful
256,retard disturbed lunaticn throw ocean brick tie ankle food,hateful
261,support sanctuary city criminal illegal alien credibility governor ameri,hateful
268,trudeau promising continue refugee,normal
272,follow retweet win faggot,hateful
285,cunt level intelligence semi retard point,hateful
286,time awful cunt,hateful
292,fox debate foulest shithole,hateful
293,ugly retard stupid piece shit flame faggot kill,hateful
296,break news dyke drought increase rapidly day suspicious entity read,normal
298,trailer curse llorona wetback spic watch trash,hateful
302,hate people hate hate fuck retard,hateful
304,prove negro,hateful
306,suspicion upstairs chinaman neighbor feign mental illness year ago slam gate,hateful
310,surprised retard president,hateful
318,ninja shyper aka toxic ching chong bing chat,hateful
326,fuck mongy cunt,hateful
329,real spic,normal
330,secure border protect citizen illegal alien,normal
331,captain repping ium retard support troop,hateful
338,pretty iphone stand retard,hateful
341,feminazi listen single word pathetic hop,hateful
343,iull mongy cunt,hateful
346,big boy block terf derogatory term faggot,hateful
347,dream faceless troll retard,hateful
352,cunt smash phone hand night,hateful
353,fuck faggot,hateful
358,cracker daddy cunt pedophile ndie slow fuckin toe rag,hateful
362,shit realize earlier phrase white fisher price version word,hateful
370,gut stand retard,hateful
376,high pitch ching chong,hateful
378,angry cunt,hateful
381,camerroonians celebrity people surely shout retard,hateful
382,hey follower country shithole political sense vote ium high pain killer,hateful
389,faggot fuck,hateful
397,bombing shoot president mental capacity flea united state real shithole country,hateful
398,answer phone faggot fuck,hateful
401,aye offense faggot faggot,hateful
405,stand meanspirited nigger,hateful
416,immigrant care chinatown strathcona,normal
417,fuck retard flirt girlfriend matu,hateful
419,retard special class,hateful
420,update manny machado twat,hateful
426,faggot cap,hateful
431,mongy humour,hateful
443,fuck raghead cunt,hateful
448,spineless twat criticize country mirgranthoardes woman rap streu,hateful
451,politically correct mam fuck retard,hateful
453,ethnic nationalist constitution retard,hateful
455,bts performs kpop songnantis people idolize ching chong group unu,hateful
465,romano gay battle title ucworst faggotud,hateful
470,kick altright retard ball free shot,hateful
472,sigh finally ching chong,hateful
475,tranquilo mongol,hateful
491,shithole country caravan country,hateful
492,awful nah read fellaini repping cunt dick love foru,hateful
504,gon steeres mongoloid,hateful
508,lmfaoo luk dyke,hateful
509,bin tinder fed mongy woman match loose voice uddude,hateful
511,photo voter suppression basic standard usa shithole country,hateful
515,wear retard,hateful
522,crazy spic dust universe,hateful
529,big sleepy twat,hateful
531,cringe steal people vernacular unoriginal faggot,hateful
534,stream men opinion cunt,hateful
