id,text,label
850010509969465344,nazi death gas horrific hitler fear,normal
850433664890544128,hate chase bitch work literally evil,hateful
850100742035836929,pineapple belong pizza yall nigga nasty,hateful
847804507367100416,nigga talk woman wear weave sick bitch fro,hateful
850344984742174720,carlos correa gyalchester walkup music bad,normal
850660404770590720,force awakens bad lip reading feature mark hamill han solo,normal
850090319165050880,idiot gon work ta flame sticker faster,hateful
848926030723031040,papaya ha bad fruit,normal
848975292794318848,btw watch watch pov stream boii feel retard,normal
850346419164553218,bird turd talk child god bros amp sister push evil policy cooperationrid chem weaps,normal
848686686930382848,bruh fuck hate people,hateful
850380636300820480,fuck sick watch republican party reward flagrantly degrade democracy,hateful
847652946217009155,dumbass bronco fan swear hate fanbase dawg,hateful
848338236770582529,dick tracy meet gruesome reboot riffotronic,normal
848835698006401024,sample jaw pull pistol nigga dam sick bitch titts,hateful
850215875680522240,litter bitch amp hate,hateful
849922895132459008,anger hairless nigga,hateful
847663964657860609,bloody splicer seal johnny goddamn splicer,hateful
847760077108822016,sick piss ugh spring break wan wellwhinesnifflecoughcry,normal
848573151328043011,deeply wrong lie scare,normal
850026196633092096,lesson day fight salty hate poem,normal
848794237306937344,yang susah itu yang disini dadahati ugly feel stay damn longmelbourne,normal
849426637657710592,praise bad kid abc news,normal
848594131257577473,dnc knew bad hurt feel trump ta,hateful
849751289399566336,trade letang hurt idiot,hateful
847811708995481600,hate people happen movie shut yo,hateful
849091848337489920,outline plot shiz time audience,normal
849261080119361536,winner trend melon search __,normal
849001259759616000,info jinyoung spot han river gagman lee seungyoon crnct_markamp,normal
850570969634754560,worry time nazi turn bad fear thread,normal
848997472273936384,nigga bad bitch question position,hateful
849787985352589312,bad pack banana,normal
850179691386249217,dude bombed idiot,hateful
849588915279364096,ugh cripple doubt bad,normal
849095858096394240,heard macies convo applebees idiot,normal
848877670389755904,doe amp torus idiot time,hateful
848759395215265792,pull wit yo bitch nigga sick,hateful
847498662905307136,film order fuck woman,hateful
849032238872133633,woman claim wifed hoe bad dude claim overlook,normal
850445232789487616,jap battle explicit crazy exgirlfriend awe snap scarsdale,hateful
849350649473114113,headline service andy carroll vodafone stadium tonight fuck wait,normal
849355590354776064,cuz money runnin forest gump nigga hate donald trump,hateful
850014813292032001,apologize people retard message positivity unite,hateful
850211169662935040,fuck piss hate trump sta ww,hateful
848729850533826564,lame twitter grown woman,normal
848519904655552512,justice bud cruel student lit cracker mouth plz sign,hateful
849301588674039809,montana senator idiot steve daines,hateful
849161004030111745,winner fate number melon mnet naver,normal
850344938587947009,fuck cruel syrian die doom dogshit electio,hateful
848490129295585280,disgust minging photo catfish,normal
849709971298291713,idiot,hateful
850727828215746560,join today mall pussy march evil fascist dictator drumpf resistance notmypresident imwithh,hateful
847407612983259136,hate nigga wear chill likeeeeee man,hateful
847392014358335488,hate wasp bee season wasp fly train change carriage ffs,normal
